"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2046,"Cars",8,2038,337854
"Ambitious-Reference",2046,"Cars",9,2037,490028
"Ambitious-Reference",2046,"Cars",10,2036,689011
"Ambitious-Reference",2046,"Cars",11,2035,922329
"Ambitious-Reference",2046,"Cars",12,2034,1008730
"Ambitious-Reference",2046,"Cars",13,2033,1052647
"Ambitious-Reference",2046,"Cars",14,2032,970135
"Ambitious-Reference",2046,"Cars",15,2031,793326
"Ambitious-Reference",2046,"Cars",16,2030,562995
"Ambitious-Reference",2046,"Cars",17,2029,326339
"Ambitious-Reference",2046,"Cars",18,2028,158741
"Ambitious-Reference",2046,"Cars",19,2027,68905
"Ambitious-Reference",2046,"Cars",20,2026,28277
"Ambitious-Reference",2046,"Cars",21,2025,10577
"Ambitious-Reference",2046,"Cars",22,2024,2757
"Ambitious-Reference",2046,"Cars",23,2023,643
"Ambitious-Reference",2046,"Cars",24,2022,240
"Ambitious-Reference",2046,"Cars",25,2021,44
"Ambitious-Reference",2046,"Cars",26,2020,10
"Ambitious-Reference",2047,"Cars",0,2047,11228
"Ambitious-Reference",2047,"Cars",1,2046,17558
"Ambitious-Reference",2047,"Cars",2,2045,27230
"Ambitious-Reference",2047,"Cars",3,2044,42054
"Ambitious-Reference",2047,"Cars",4,2043,64991
"Ambitious-Reference",2047,"Cars",5,2042,100010
"Ambitious-Reference",2047,"Cars",6,2041,152724
"Ambitious-Reference",2047,"Cars",7,2040,230874
"Ambitious-Reference",2047,"Cars",8,2039,341996
"Ambitious-Reference",2047,"Cars",9,2038,496301
"Ambitious-Reference",2047,"Cars",10,2037,696431
"Ambitious-Reference",2047,"Cars",11,2036,933422
"Ambitious-Reference",2047,"Cars",12,2035,1157791
"Ambitious-Reference",2047,"Cars",13,2034,1154371
"Ambitious-Reference",2047,"Cars",14,2033,1073941
"Ambitious-Reference",2047,"Cars",15,2032,866998
"Ambitious-Reference",2047,"Cars",16,2031,615726
"Ambitious-Reference",2047,"Cars",17,2030,380391
"Ambitious-Reference",2047,"Cars",18,2029,194365
"Ambitious-Reference",2047,"Cars",19,2028,84981
"Ambitious-Reference",2047,"Cars",20,2027,33902
"Ambitious-Reference",2047,"Cars",21,2026,13063
"Ambitious-Reference",2047,"Cars",22,2025,4670
"Ambitious-Reference",2047,"Cars",23,2024,1176
"Ambitious-Reference",2047,"Cars",24,2023,270
"Ambitious-Reference",2047,"Cars",25,2022,99
"Ambitious-Reference",2047,"Cars",26,2021,18
"Ambitious-Reference",2047,"Cars",27,2020,4
"Ambitious-Reference",2048,"Cars",0,2048,11249
"Ambitious-Reference",2048,"Cars",1,2047,17618
"Ambitious-Reference",2048,"Cars",2,2046,27503
"Ambitious-Reference",2048,"Cars",3,2045,42557
"Ambitious-Reference",2048,"Cars",4,2044,65505
"Ambitious-Reference",2048,"Cars",5,2043,100749
"Ambitious-Reference",2048,"Cars",6,2042,153958
"Ambitious-Reference",2048,"Cars",7,2041,232721
"Ambitious-Reference",2048,"Cars",8,2040,346578
"Ambitious-Reference",2048,"Cars",9,2039,502083
"Ambitious-Reference",2048,"Cars",10,2038,704969
"Ambitious-Reference",2048,"Cars",11,2037,943039
"Ambitious-Reference",2048,"Cars",12,2036,1171026
"Ambitious-Reference",2048,"Cars",13,2035,1324632
"Ambitious-Reference",2048,"Cars",14,2034,1177430
"Ambitious-Reference",2048,"Cars",15,2033,959574
"Ambitious-Reference",2048,"Cars",16,2032,672802
"Ambitious-Reference",2048,"Cars",17,2031,415979
"Ambitious-Reference",2048,"Cars",18,2030,226548
