"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Alabama","Limestone County","01","083","Limestone",114654,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Indiana","Henry County","18","065","Henry",48929,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Nebraska","Polk County","31","143","Polk",5228,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Ohio","Ottawa County","39","123","Ottawa",39803,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Minnesota","Norman County","27","107","Norman",6329,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Iowa","Shelby County","19","165","Shelby",11806,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Maryland","Carroll County","24","013","Carroll",176639,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Iowa","Benton County","19","011","Benton",25796,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kentucky","Martin County","21","159","Martin",10928,"East South Central","PJMW","PJM / West","RFC West","US-RFC"
"Minnesota","Chisago County","27","025","Chisago",58535,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kentucky","Owsley County","21","189","Owsley",4001,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Pennsylvania","Bradford County","42","015","Bradford",59695,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"West Virginia","Hancock County","54","029","Hancock",28145,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Missouri","Cole County","29","051","Cole",77278,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Michigan","Berrien County","26","021","Berrien",152261,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Pennsylvania","Huntingdon County","42","061","Huntingdon",43514,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Nebraska","Dawes County","31","045","Dawes",8133,"West North Central","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Virginia","Patrick County","51","141","Patrick",17509,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Michigan","Montmorency County","26","119","Montmorency",9678,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Michigan","Oscoda County","26","135","Oscoda",8545,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"New Mexico","Colfax County","35","007","Colfax",12255,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Illinois","St. Clair County","17","163","St. Clair",251018,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Illinois","Washington County","17","189","Washington",13536,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Pennsylvania","Bedford County","42","009","Bedford",47350,"Middle Atlantic","PJMW","PJM / West","RFC East","US-RFC"
"Arkansas","Scott County","05","127","Scott",9851,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Kansas","Labette County","20","099","Labette",19728,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Pennsylvania","Lawrence County","42","073","Lawrence",84472,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Ohio","Harrison County","39","067","Harrison",14159,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"North Carolina","Alexander County","37","003","Alexander",36473,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"New Jersey","Cape May County","34","009","Cape May",94610,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"New Hampshire","Cheshire County","33","005","Cheshire",77703,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Minnesota","Marshall County","27","089","Marshall",8810,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Virginia","King William County","51","101","King William",19030,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Colorado","Huerfano County","08","055","Huerfano",7055,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Texas","Karnes County","48","255","Karnes",15018,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Tennessee","Chester County","47","023","Chester",17606,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Illinois","Scott County","17","171","Scott",4710,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Utah","Millard County","49","027","Millard",13437,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Utah","Morgan County","49","029","Morgan",13000,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Texas","Kaufman County","48","257","Kaufman",185690,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Arizona","Greenlee County","04","011","Greenlee",9369,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Arizona","Maricopa County","04","013","Maricopa",4585871,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Michigan","Ogemaw County","26","129","Ogemaw",20990,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Tennessee","Jackson County","47","087","Jackson",12363,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Illinois","Richland County","17","159","Richland",15488,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Alabama","Blount County","01","009","Blount",59816,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Montana","Liberty County","30","051","Liberty",1974,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Texas","Duval County","48","131","Duval",9604,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Missouri","Ralls County","29","173","Ralls",10489,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Johnson County","48","251","Johnson",202906,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Georgia","Clay County","13","061","Clay",2853,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Oregon","Grant County","41","023","Grant",7215,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Oregon","Coos County","41","011","Coos",64212,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Texas","Franklin County","48","159","Franklin",10735,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"New York","Warren County","36","113","Warren",65380,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Virginia","Madison County","51","113","Madison",14128,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Oklahoma","Atoka County","40","005","Atoka",14525,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Illinois","Menard County","17","129","Menard",11954,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Georgia","Bartow County","13","015","Bartow",115041,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Florida","Lake County","12","069","Lake",424462,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Oklahoma","Okmulgee County","40","111","Okmulgee",37035,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"North Dakota","Sheridan County","38","083","Sheridan",1266,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Indiana","Fulton County","18","049","Fulton",20358,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Kansas","Johnson County","20","091","Johnson",622237,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Maryland","Calvert County","24","009","Calvert",94728,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Wisconsin","Washburn County","55","129","Washburn",16930,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Washington","Jefferson County","53","031","Jefferson",33714,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Minnesota","Winona County","27","169","Winona",49721,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Mississippi","Warren County","28","149","Warren",42298,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Missouri","Andrew County","29","003","Andrew",18127,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Missouri","Montgomery County","29","139","Montgomery",11459,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Kansas","Cherokee County","20","021","Cherokee",19054,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"North Carolina","Halifax County","37","083","Halifax",47298,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"New Mexico","Sandoval County","35","043","Sandoval",155936,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Kentucky","Clay County","21","051","Clay",19648,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Pennsylvania","Clinton County","42","035","Clinton",37607,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Oregon","Linn County","41","043","Linn",131496,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Wisconsin","Lafayette County","55","065","Lafayette",16945,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Oklahoma","Washington County","40","147","Washington",53706,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"West Virginia","Preston County","54","077","Preston",34099,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Wisconsin","Waupaca County","55","135","Waupaca",51388,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Texas","Edwards County","48","137","Edwards",1393,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Oregon","Lake County","41","037","Lake",8293,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Missouri","Ozark County","29","153","Ozark",8970,"West North Central","SPPC","Southwest Power Pool / Central","SERC Midwest","US-SERC"
"Texas","Waller County","48","473","Waller",63553,"West South Central","TRE","Texas Reliability Entity","SERC Mississippi Valley","US-SERC"
"Alabama","Monroe County","01","099","Monroe",19229,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Vermont","Essex County","50","009","Essex",6010,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Virginia","Lunenburg County","51","111","Lunenburg",12038,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"North Dakota","Traill County","38","097","Traill",7908,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Georgia","Hall County","13","139","Hall",217267,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Treutlen County","13","283","Treutlen",6341,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Calhoun County","13","037","Calhoun",5457,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wisconsin","Vilas County","55","125","Vilas",23885,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Beltrami County","27","007","Beltrami",46718,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Maryland","Dorchester County","24","019","Dorchester",32879,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Pennsylvania","Columbia County","42","037","Columbia",65439,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Ohio","Clark County","39","023","Clark",134610,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Maverick County","48","323","Maverick",57762,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Arizona","Pima County","04","019","Pima",1063162,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"New Mexico","Cibola County","35","006","Cibola",26780,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"New Jersey","Burlington County","34","005","Burlington",469167,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Vermont","Rutland County","50","021","Rutland",60271,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Georgia","Early County","13","099","Early",10563,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Massachusetts","Dukes County","25","007","Dukes",20819,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"North Dakota","McHenry County","38","049","McHenry",5131,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Nebraska","Wayne County","31","179","Wayne",9874,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
